ranking,target_season,target_week,season,week,game_id,posteam,defteam,player_id,player_name_pbp,opportunities,rush_attempts_pbp,targets_pbp,red_zone_opps,inside10_opps,inside5_opps,goal_line_rushes,red_zone_targets,end_zone_targets,receiving_opps,rush_tds,receiving_tds_x,player_epa,air_yards_pbp,qb_designed_rushes,td_count,scored_td,snap_player_name,snap_position,snap_team,snap_opponent,offense_snaps,offense_pct,player_name,position,team,opponent_team,carries,targets,target_share,air_yards_share,wopr,rushing_tds,receiving_tds_y,receptions,receiving_yards,rushing_yards,fantasy_points,pacr,racr,is_forward,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,roster_status,depth_rank,receiving_tds,snap_share,routes_run_proxy,route_participation,opponent_team_sch,spread,game_total,home_away,team_implied_total,dynamic_kickoff_era,touchback_35_era,both_teams_overtime_era,games_prior,rush_attempts_share,targets_share,red_zone_opps_share,inside10_opps_share,inside5_opps_share,goal_line_rushes_share,end_zone_targets_share,receiving_opps_share,player_epa_per_opp,targets_per_route,red_zone_target_share,qb_inside5_rush_share,qb_designed_rush_share,snap_share_ewm,route_participation_ewm,rush_share_ewm,target_share_ewm,red_zone_opp_share_ewm,inside10_opp_share_ewm,inside5_opp_share_ewm,goal_line_rush_share_ewm,end_zone_target_share_ewm,receiving_opp_share_ewm,player_epa_per_opp_ewm,targets_per_route_ewm,air_yards_share_ewm,red_zone_target_share_ewm,qb_inside5_rush_share_ewm,qb_designed_rush_share_ewm,role_stability,previous_team,new_team_flag,current_team_games,rookie_season,draft_year,draft_round,draft_pick,college_name,rookie_flag,team_epa_per_play_prior,team_success_rate_prior,team_red_zone_pass_rate_prior,team_seconds_per_play_prior,def_epa_allowed_prior,def_success_allowed_prior,def_red_zone_td_rate_prior,league_offensive_tds_prior,league_drives_prior,league_red_zone_trips_prior,league_plays_prior,league_start_field_position_prior,def_man_rate,def_two_high_rate,def_blitz_rate,coverage_matchup_score,position_group_model,model_probability,model_group,confidence,raw_model_probability,ranking_score,name_key,ranking_cutoff_date,scrape_date,expert_rank_percentile,ecr,nfl_game_id,kickoff,role_score,high_value_role_score,recent_opportunities,model_note,generated_at_utc,planned_snapshot_utc,actual_snapshot_utc,snapshot_status
8,2026,1,2026,1,2026_01_DET,DET,NO,00-0036963,Amon-Ra St. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Amon-Ra St. Brown,WR,DET,NO,,,,0.0,,,,,,,,,,True,WR,14.0,ACT,Amon-Ra St. Brown,Amon-Ra,St. Brown,1999-10-24,72.0,202.0,USC,00-0036963,4374302,26ef0447-29b8-4dd1-9831-dcbf8132bb74,33500.0,15332,84470,StxxAm00,22587,7547,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",,REG,A01,Amon-Ra,STB415291,53541,32005354-4241-5291-a564-57e98d35161d,2021.0,2021.0,DET,112.0,ACT,1.0,0.0,0.0,0.0,0.0,NO,7.0,48.5,home,27.75,1,1,1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8557553804847784,0.8557553804847784,0.0020214157455294,0.328638809901522,0.2133666408584928,0.2195585104111985,0.1332265127284942,1.3609785366533094e-06,0.3442118698967876,0.328638809901522,0.1344767949434899,0.401192869113031,0.407982078424597,0.3711861522803856,0.0,0.0021052300186526,0.7845971441259268,DET,0,66,2021.0,2021.0,4.0,112.0,USC,0,0.0729690601263949,0.4463557105811071,0.5224551486070336,56.640900609335056,-0.073396356993557,0.4075600020495858,0.1921275283732031,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.5383294604453309,REC,83.2148100399667,0.5383294604453309,0.5383294604453309,amonrastbrown,2026-07-14,,,,2026_01_NO_DET,2026-09-13 17:00:00+00:00,0.3954718687106099,0.1887172213327285,0.328638809901522,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
9,2026,1,2026,1,2026_01_CIN,CIN,TB,00-0036900,Ja'Marr Chase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Ja'Marr Chase,WR,CIN,TB,,,,0.0,,,,,,,,,,True,WR,1.0,ACT,Ja'Marr Chase,Ja'Marr,Chase,2000-03-01,72.0,205.0,LSU,00-0036900,4362628,fa99e984-d63b-4ef4-a164-407f68a7eeaf,33393.0,15183,84270,ChasJa00,22564,7564,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",,REG,A01,Ja'Marr,CHA694469,53434,32004348-4169-4469-b021-d2c20a7d7cf5,2021.0,2021.0,CIN,5.0,ACT,1.0,0.0,0.0,0.0,0.0,TB,3.5,50.5,home,27.0,1,1,1,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936816319769844,0.936816319769844,0.0074047869484283,0.3123048738479986,0.1437310402663805,0.1060376582572966,0.0671138629751568,0.0,0.3613363430685898,0.3123048738479986,0.272160202537323,0.3351402081468666,0.3653748354180485,0.2522444781247966,0.0,0.0074378772837817,0.7871791730509278,CIN,0,61,2021.0,2021.0,1.0,5.0,LSU,0,-0.0261324723987884,0.4481084689528767,0.6488328664799253,57.39989262802602,0.0179559196643026,0.4452701856141907,0.2590463458110517,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.5079547667828992,REC,83.29614395110423,0.5079547667828992,0.5079547667828992,jamarrchase,2026-07-14,,,,2026_01_TB_CIN,2026-09-13 17:00:00+00:00,0.4188419935220903,0.1056275204996113,0.3123048738479986,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
11,2026,1,2026,1,2026_01_SEA,SEA,NE,00-0038543,Jaxon Smith-Njigba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Jaxon Smith-Njigba,WR,SEA,NE,,,,0.0,,,,,,,,,,True,WR,11.0,ACT,Jaxon Smith-Njigba,Jaxon,Smith-Njigba,2002-02-14,72.0,198.0,Ohio State,00-0038543,4430878,6215db71-1e13-4c62-8f14-2005d33dee47,40041.0,16654,129758,SmitJa06,23157,9488,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jpvhsregfvw46mlyckzj",,REG,A01,Jaxon,SMI829636,55884,3200534d-4982-9636-a18c-5da6fbdaa80c,2023.0,2023.0,SEA,20.0,ACT,1.0,0.0,0.0,0.0,0.0,NE,3.5,44.5,home,24.0,1,1,1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8249636667851038,0.8281457384800296,0.0111892515865864,0.3497398277987431,0.1027622526604573,0.0945163385541014,0.0629803094994065,0.0,0.2595378411756135,0.3497398277987431,0.4942074538446164,0.4354343938758375,0.521967176814924,0.1832778047479163,0.0,0.0115715331372316,0.8151872557778488,SEA,0,51,2023.0,2023.0,1.0,20.0,Ohio State,0,0.0339346646294993,0.458665526202532,0.425107735401853,60.118340913926254,-0.05503497491109,0.4415276744766083,0.2920197127433969,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.4707558087966978,REC,84.17839855700223,0.4707558087966978,0.4707558087966978,jaxonsmithnjigba,2026-07-14,,,,2026_01_NE_SEA,2026-09-10 00:20:00+00:00,0.3952975820568111,0.0867529669046551,0.3497398277987431,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-09T00:20:00+00:00,,provisional
12,2026,1,2026,1,2026_01_DET,DET,NO,00-0037240,Jameson Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Jameson Williams,WR,DET,NO,,,,0.0,,,,,,,,,,True,WR,1.0,ACT,Jameson Williams,Jameson,Williams,2001-03-26,73.0,182.0,Alabama; Ohio State,00-0037240,4426388,590adb00-5598-47ad-b6d4-16a6c5519847,33967.0,15849,101701,WillJa11,23234,8148,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gpjarmglg1jhwq5wr1uu",,REG,A01,Jameson,WIL344909,54477,32005749-4c34-4909-bc5e-bde59d1a8826,2022.0,2022.0,DET,12.0,ACT,2.0,0.0,0.0,0.0,0.0,NO,7.0,48.5,home,27.75,1,1,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9038521335949268,0.9038521335949268,0.0108702650887458,0.198365529996283,0.0716954815712049,0.1099631890211047,0.0274285696576327,0.003515725740162,0.0924598214625182,0.198365529996283,0.4657417159035258,0.2185868088343445,0.3080063257103121,0.1168072874887895,0.0,0.0109622779330408,0.7069385123565931,DET,0,50,2022.0,2022.0,1.0,12.0,Alabama; Ohio State,0,0.0729690601263949,0.4463557105811071,0.5224551486070336,56.640900609335056,-0.073396356993557,0.4075600020495858,0.1921275283732031,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.4343135671802051,REC,80.76856313923268,0.4343135671802051,0.4343135671802051,jamesonwilliams,2026-07-14,,,,2026_01_NO_DET,2026-09-13 17:00:00+00:00,0.3710293095599852,0.0696957467499808,0.198365529996283,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
13,2026,1,2026,1,2026_01_BAL,BAL,IND,00-0039064,Zay Flowers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Zay Flowers,WR,BAL,IND,,,,0.0,,,,,,,,,,True,WR,4.0,ACT,Zay Flowers,Xavien,Flowers,2000-09-11,69.0,183.0,Boston College,00-0039064,4429615,2b6d74b7-10fb-4f17-99c8-9bb557fb475b,40039.0,16919,97268,FlowZa00,23120,9997,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqqh8gmxdpo55qwpsszj",,REG,A01,Zay,FLO577002,55886,3200464c-4f57-7002-1160-832e9618f0fd,2023.0,2023.0,BAL,22.0,ACT,1.0,0.0,0.0,0.0,0.0,IND,3.5,49.5,away,26.5,1,1,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.853619171284323,0.853619171284323,0.0141595105069194,0.3049442789150761,0.1033990003677022,0.1355007659907767,0.0334801837602494,0.0,0.1960633901712959,0.3049442789150761,0.5862913355688386,0.3596601711946806,0.3993483994370772,0.2558368478343872,0.0,0.015461213581652,0.8092564301694539,BAL,0,50,2023.0,2023.0,1.0,22.0,Boston College,0,0.027638727752219,0.4346599727067241,0.3826631126548889,63.62022008053662,-0.0060184622972453,0.4494668275162007,0.1957850876535997,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.4331401612302232,REC,83.9915775503378,0.4331401612302232,0.4331401612302232,zayflowers,2026-07-14,,,,2026_01_BAL_IND,2026-09-13 17:00:00+00:00,0.3909076535687728,0.0907933167062428,0.3049442789150761,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
14,2026,1,2026,1,2026_01_MIN,MIN,GB,00-0036322,Justin Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Justin Jefferson,WR,MIN,GB,,,,0.0,,,,,,,,,,True,WR,18.0,ACT,Justin Jefferson,Justin,Jefferson,1999-06-16,73.0,192.0,LSU,00-0036322,4262921,4131d4ee-0318-4bb5-832a-4dec80668a4f,32692.0,14509,61398,JeffJu00,21685,6794,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f0ccavu3ppzcs51e1cuv",,REG,A01,Justin,JEF269287,52430,32004a45-4626-9287-c454-479b942cbd26,2020.0,2020.0,MIN,22.0,ACT,1.0,0.0,0.0,0.0,0.0,GB,-1.5,44.5,home,21.5,1,1,1,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92003452818185,0.92003452818185,0.005597321918795,0.3147162733015093,0.1325396758104996,0.2047601190410684,0.1147577341195487,4.08293560995992e-06,0.381691831422552,0.3147162733015093,-0.0231960023473107,0.3457444534950591,0.3727275100091922,0.3221653726144117,0.0,0.0057244174711485,0.7417543002387567,MIN,0,61,2020.0,2020.0,1.0,22.0,LSU,0,-0.1420942381538635,0.4135930517140242,0.5868886015944839,63.65927622347955,0.0172495241303911,0.4427622597755885,0.1745236136412607,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.4326889222553751,REC,81.86526045752083,0.4326889222553751,0.4326889222553751,justinjefferson,2026-07-14,,,,2026_01_GB_MIN,2026-09-13 20:25:00+00:00,0.4134493744673848,0.1506858429903722,0.3147162733015093,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T20:25:00+00:00,,provisional
22,2026,1,2026,1,2026_01_LA,LA,SF,00-0039075,Puka Nacua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Puka Nacua,WR,LA,SF,,,,0.0,,,,,,,,,,True,WR,12.0,ACT,Puka Nacua,Puka,Nacua,2001-05-29,74.0,205.0,BYU; Washington,00-0039075,4426515,111be44d-7bc2-4cad-934d-c9e946293b2f,40168.0,16790,100632,NacuPu00,24172,9493,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvi4hdm6fywcekfe7ceb",,REG,A01,Puka,NAC559347,56042,32004e41-4355-9347-35af-af88fcaf7ee9,2023.0,2023.0,LAR,177.0,ACT,1.0,0.0,0.0,0.0,0.0,SF,3.0,48.5,home,25.75,1,1,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.681828446968737,0.681828446968737,0.02521494360126,0.3036540573320648,0.1223468546529224,0.1252797049532173,0.0833356155614122,0.0014781805859587,0.2204064101068867,0.3036540573320648,0.6845789365851231,0.457276905311236,0.3078919403881323,0.2178553065745687,0.0,0.0258042134026012,0.841451738305636,LA,0,44,2023.0,2023.0,5.0,177.0,BYU; Washington,0,0.1106104212015036,0.5024078865731981,0.5830131469837353,56.70908765919512,0.053136262859068,0.4778033073800487,0.1939605329311211,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.4055607230809411,REC,85.00572975662753,0.4055607230809411,0.4055607230809411,pukanacua,2026-07-14,,,,2026_01_SF_LA,2026-09-11 00:35:00+00:00,0.3368991493006874,0.1103207250558507,0.3036540573320648,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-10T00:35:00+00:00,,provisional
26,2026,1,2026,1,2026_01_NYG,NYG,DAL,00-0039337,Malik Nabers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Malik Nabers,WR,NYG,DAL,,,,0.0,,,,,,,,,,True,WR,1.0,ACT,Malik Nabers,Malik,Nabers,2003-07-28,72.0,195.0,LSU,00-0039337,4595348,55ef2022-50c2-465b-839e-c0f4c9e7c55c,40899.0,17704,146759,NabeMa00,24953,11632,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w3edoyyuomqlovvp9ixc",,REG,A01,Malik,NAB400459,57127,32004e41-4240-0459-a77d-033b6932cbbb,2024.0,2024.0,NYG,6.0,ACT,1.0,0.0,0.0,0.0,0.0,DAL,-2.5,48.5,home,23.0,1,1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8182583861600311,0.8182583861600311,0.0034025733721886,0.2940223347672883,0.1648536285579964,0.2007332007570225,0.1286458826067094,0.0,0.3271360620754323,0.2940223347672883,0.1337139076192964,0.371376837697174,0.4494397920188773,0.2542772447852477,0.0,0.0037529381201191,0.6531904581025808,NYG,0,19,2024.0,2024.0,1.0,6.0,LSU,0,0.001880350513183,0.4156138721844364,0.5103215412038942,55.91349690390224,0.1574553368990721,0.476239741998063,0.2297470503352856,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.3904284092477477,REC,79.07549943023128,0.3904284092477477,0.3904284092477477,maliknabers,2026-07-14,,,,2026_01_DAL_NYG,2026-09-14 00:20:00+00:00,0.3718944314331693,0.1647442373072427,0.2940223347672883,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-13T00:20:00+00:00,,provisional
27,2026,1,2026,1,2026_01_CIN,CIN,TB,00-0036410,Tee Higgins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Tee Higgins,WR,CIN,TB,,,,0.0,,,,,,,,,,True,WR,5.0,ACT,Tee Higgins,Tamaurice,Higgins,1999-01-18,76.0,220.0,Clemson,00-0036410,4239993,7963b029-5de4-4541-b00a-44eefe4349af,32703.0,14506,61211,HiggTe00,21690,6801,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/flr9f8oqigbyroeaubxb",,REG,A01,Tee,HIG387791,52441,32004849-4738-7791-9f89-d556c4b59b9a,2020.0,2020.0,CIN,33.0,ACT,2.0,0.0,0.0,0.0,0.0,TB,3.5,50.5,home,27.0,1,1,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7710483775738323,0.7710483775738323,0.0,0.1907417890806977,0.1615136348472479,0.1322489962146554,0.0706802372650437,0.0,0.2908950977891922,0.1907417890806977,0.4520574343172172,0.2487073840155756,0.360111145081486,0.2679549574336022,0.0,0.0,0.6571854387782873,CIN,0,55,2020.0,2020.0,2.0,33.0,Clemson,0,-0.0261324723987884,0.4481084689528767,0.6488328664799253,57.39989262802602,0.0179559196643026,0.4452701856141907,0.2590463458110517,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.3889070127568622,REC,79.20134132151604,0.3889070127568622,0.3889070127568622,teehiggins,2026-07-14,,,,2026_01_TB_CIN,2026-09-13 17:00:00+00:00,0.3205967222181766,0.1214809561089824,0.1907417890806977,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
28,2026,1,2026,1,2026_01_IND,IND,BAL,00-0037664,Alec Pierce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Alec Pierce,WR,IND,BAL,,,,0.0,,,,,,,,,,True,WR,14.0,ACT,Alec Pierce,Alec,Pierce,2000-05-02,75.0,213.0,Cincinnati,00-0037664,4360078,a67ee8f8-e9de-4fb9-90b6-edca2f83f6d8,34008.0,16022,78038,PierAl00,23232,8142,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zeghrjc8rir3r3zi6det",,REG,A01,Alec,PIE185673,54518,32005049-4518-5673-88cc-339d3b35d4c9,2022.0,2022.0,IND,53.0,ACT,1.0,0.0,0.0,0.0,0.0,BAL,-3.5,49.5,home,23.0,1,1,1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8654308481318264,0.8654308481318264,0.0,0.1668305143331574,0.0790491711255884,0.0579843716042116,0.0137942588353964,0.0,0.3983775756006112,0.1668305143331574,0.8916450479372391,0.2020301316963347,0.3777462616314123,0.1528497191425218,0.0,0.0,0.6296296296296297,IND,0,64,2022.0,2022.0,2.0,53.0,Cincinnati,0,0.0651435800215776,0.4545110164815175,0.4680658823460681,58.93232036981729,0.0080660965562059,0.4355906445260391,0.1821716224648295,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.3888620460214677,REC,78.33333333333333,0.3888620460214677,0.3888620460214677,alecpierce,2026-07-14,,,,2026_01_BAL_IND,2026-09-13 17:00:00+00:00,0.3440871208216613,0.0502759338550655,0.1668305143331574,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
