ranking,target_season,target_week,season,week,game_id,posteam,defteam,player_id,player_name_pbp,opportunities,rush_attempts_pbp,targets_pbp,red_zone_opps,inside10_opps,inside5_opps,goal_line_rushes,red_zone_targets,end_zone_targets,receiving_opps,rush_tds,receiving_tds_x,player_epa,air_yards_pbp,qb_designed_rushes,td_count,scored_td,snap_player_name,snap_position,snap_team,snap_opponent,offense_snaps,offense_pct,player_name,position,team,opponent_team,carries,targets,target_share,air_yards_share,wopr,rushing_tds,receiving_tds_y,receptions,receiving_yards,rushing_yards,fantasy_points,pacr,racr,is_forward,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,roster_status,depth_rank,receiving_tds,snap_share,routes_run_proxy,route_participation,opponent_team_sch,spread,game_total,home_away,team_implied_total,dynamic_kickoff_era,touchback_35_era,both_teams_overtime_era,games_prior,rush_attempts_share,targets_share,red_zone_opps_share,inside10_opps_share,inside5_opps_share,goal_line_rushes_share,end_zone_targets_share,receiving_opps_share,player_epa_per_opp,targets_per_route,red_zone_target_share,qb_inside5_rush_share,qb_designed_rush_share,snap_share_ewm,route_participation_ewm,rush_share_ewm,target_share_ewm,red_zone_opp_share_ewm,inside10_opp_share_ewm,inside5_opp_share_ewm,goal_line_rush_share_ewm,end_zone_target_share_ewm,receiving_opp_share_ewm,player_epa_per_opp_ewm,targets_per_route_ewm,air_yards_share_ewm,red_zone_target_share_ewm,qb_inside5_rush_share_ewm,qb_designed_rush_share_ewm,role_stability,previous_team,new_team_flag,current_team_games,rookie_season,draft_year,draft_round,draft_pick,college_name,rookie_flag,team_epa_per_play_prior,team_success_rate_prior,team_red_zone_pass_rate_prior,team_seconds_per_play_prior,def_epa_allowed_prior,def_success_allowed_prior,def_red_zone_td_rate_prior,league_offensive_tds_prior,league_drives_prior,league_red_zone_trips_prior,league_plays_prior,league_start_field_position_prior,def_man_rate,def_two_high_rate,def_blitz_rate,coverage_matchup_score,position_group_model,model_probability,model_group,confidence,raw_model_probability,ranking_score,name_key,ranking_cutoff_date,scrape_date,expert_rank_percentile,ecr,nfl_game_id,kickoff,role_score,high_value_role_score,recent_opportunities,model_note,generated_at_utc,planned_snapshot_utc,actual_snapshot_utc,snapshot_status
1,2026,1,2026,1,2026_01_LV,LV,MIA,00-0040122,Ashton Jeanty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Ashton Jeanty,RB,LV,MIA,,,,0.0,,,,,,,,,,True,RB,2.0,ACT,Ashton Jeanty,Ashton,Jeanty,2003-12-02,68.0,215.0,Boise State,00-0040122,4890973,320fc4b7-76c7-43af-bbfd-1a22ba8f78cb,,18487,157196,JeanAs00,25868,12527,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/syspis1mntov9kgspb7r",,REG,A01,Ashton,JEA427291,58208,32004a45-4142-7291-3a65-da29eaedce27,2025.0,2025.0,LV,6.0,ACT,1.0,0.0,0.0,0.0,0.0,MIA,3.0,41.5,home,22.25,1,1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8298468799360642,0.8298468799360642,0.766003318123865,0.1576314741864877,0.391709776528817,0.3837310719411109,0.4312556464076878,0.4440320435082762,0.0,0.1576314741864877,-0.2664205284929913,0.1915972786205703,-0.0335422060234939,0.0719839939528965,0.0,0.8227054465314931,0.7543816078392135,LV,0,17,2025.0,2025.0,1.0,6.0,Boise State,0,-0.2287861946000111,0.366148193063547,0.567942612942613,65.76814431901056,0.0755263382998171,0.4777257520337605,0.2422275866548312,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.6089696709405531,RB,82.26302064693522,0.6089696709405531,0.6089696709405531,ashtonjeanty,2026-07-14,,,,2026_01_MIA_LV,2026-09-13 20:25:00+00:00,0.5844938907488056,0.4022321649592053,0.766003318123865,Strong goal-line/red-zone role,2026-07-15T04:45:07.380027+00:00,2026-09-12T20:25:00+00:00,,provisional
2,2026,1,2026,1,2026_01_DET,DET,NO,00-0039139,Jahmyr Gibbs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Jahmyr Gibbs,RB,DET,NO,,,,0.0,,,,,,,,,,True,RB,0.0,ACT,Jahmyr Gibbs,Jahmyr,Gibbs,2002-03-20,69.0,200.0,Alabama; Georgia Tech,00-0039139,4429795,fef9457e-6497-47de-9bf2-cc3b95929375,40059.0,16808,122474,GibbJa01,23200,9221,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjxk3judytgsxkqiilre",,REG,A01,Jahmyr,GIB198578,55876,32004749-4219-8578-ca06-2b870fe6f731,2023.0,2023.0,DET,12.0,ACT,1.0,0.0,0.0,0.0,0.0,NO,7.0,48.5,home,27.75,1,1,1,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049474183800792,0.7049474183800792,0.5981124923955639,0.1669019023291214,0.3361766876857301,0.2816135647607614,0.2642114228747164,0.3286755772359252,0.0017151166479603,0.1669019023291214,-0.0216083714391369,0.2336674933730556,0.0272396184276061,0.1322339524786034,0.0,0.6020017756722394,0.9130434782608696,DET,0,49,2023.0,2023.0,1.0,12.0,Alabama; Georgia Tech,0,0.0729690601263949,0.4463557105811071,0.5224551486070336,56.640900609335056,-0.073396356993557,0.4075600020495858,0.1921275283732031,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.6070392198784578,RB,87.26086956521739,0.6070392198784578,0.6070392198784578,jahmyrgibbs,2026-07-14,,,,2026_01_NO_DET,2026-09-13 17:00:00+00:00,0.4899872710349215,0.2940005584404027,0.5981124923955639,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
3,2026,1,2026,1,2026_01_PHI,PHI,WAS,00-0034844,Saquon Barkley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Saquon Barkley,RB,PHI,WAS,,,,0.0,,,,,,,,,,True,RB,26.0,ACT,Saquon Barkley,Saquon,Barkley,1997-02-09,72.0,233.0,Penn State,00-0034844,3929630,9811b753-347c-467a-b3cb-85937e71e2b9,30972.0,12507,45791,BarkSa00,19766,4866,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ern1nbhivkmwkg82c7v1",,REG,A01,Saquon,BAR192674,46071,32004241-5219-2674-af43-1519254e563d,2018.0,2018.0,NYG,2.0,ACT,1.0,0.0,0.0,0.0,0.0,WAS,5.5,46.5,home,26.0,1,1,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692676882350988,0.7692676882350988,0.6430521790747958,0.0990591623903116,0.3671462209074997,0.4677493046658624,0.4137704259820339,0.4676343697946488,0.0303005110315408,0.0990591623903116,-0.0570088581605853,0.1373722834817594,-0.0017730561589324,0.1168725880224393,0.0,0.696669980219348,0.8947833660511703,PHI,0,32,2018.0,2018.0,1.0,2.0,Penn State,0,0.0144393225406947,0.4221157942387259,0.3971681655118187,59.93908963740439,0.1298492124568752,0.4699278290816901,0.2268246974903321,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.5826359241348629,RB,86.68567603061186,0.5826359241348629,0.5826359241348629,saquonbarkley,2026-07-14,,,,2026_01_WAS_PHI,2026-09-13 20:25:00+00:00,0.5037930099000688,0.4162219838517987,0.6430521790747958,Strong goal-line/red-zone role,2026-07-15T04:45:07.380027+00:00,2026-09-12T20:25:00+00:00,,provisional
4,2026,1,2026,1,2026_01_LAC,LAC,ARI,00-0040666,Omarion Hampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Omarion Hampton,RB,LAC,ARI,,,,0.0,,,,,,,,,,True,RB,8.0,ACT,Omarion Hampton,Omarion,Hampton,2003-03-16,72.0,220.0,North Carolina,00-0040666,4685382,3e1b7908-79ee-4a23-97b9-5190725a2e5e,,18445,162750,HampOm00,25956,12507,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ck7xcbwuka7wu2zwhssk",,REG,A01,Omarion,HAM773946,58224,32004841-4d77-3946-bc04-1f7201601885,2025.0,2025.0,LAC,22.0,ACT,1.0,0.0,0.0,0.0,0.0,ARI,11.5,45.5,home,28.5,1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6517287686509049,0.6517287686509049,0.5520910314792753,0.1138467146412656,0.4091557622295588,0.3420196857957703,0.3727293634226574,0.4420550160583298,0.0,0.1138467146412656,-0.0230659676095876,0.1773386977271527,-0.0311302226591277,0.0649799548336008,0.0,0.6385702605781829,0.8514947188035905,LAC,0,9,2025.0,2025.0,1.0,22.0,North Carolina,0,-0.0460089819886228,0.4240718528321242,0.5769362262214202,55.51130093310677,0.0744852251335285,0.4714611390898421,0.2103993228993229,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.5635198203403983,RB,78.91623640351582,0.5635198203403983,0.5635198203403983,omarionhampton,2026-07-14,,,,2026_01_ARI_LAC,2026-09-13 20:25:00+00:00,0.439222171590482,0.3746349371493289,0.5520910314792753,Strong goal-line/red-zone role,2026-07-15T04:45:07.380027+00:00,2026-09-12T20:25:00+00:00,,provisional
5,2026,1,2026,1,2026_01_IND,IND,BAL,00-0036223,Jonathan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Jonathan Taylor,RB,IND,BAL,,,,0.0,,,,,,,,,,True,RB,28.0,ACT,Jonathan Taylor,Jonathan,Taylor,1999-01-19,70.0,221.0,Wisconsin,00-0036223,4242335,925195a4-06ba-4e37-ae7d-a3d6a5419139,32711.0,14455,57488,TaylJo02,21682,6813,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",,REG,A01,Jonathan,TAY431618,52449,32005441-5943-1618-c081-5dd6b2d0b829,2020.0,2020.0,IND,41.0,ACT,1.0,0.0,0.0,0.0,0.0,BAL,-3.5,49.5,home,23.0,1,1,1,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018829925894468,0.8018832876144716,0.7651373636125729,0.1091795949825401,0.42354214661716,0.3759790499598132,0.4503149547764924,0.5715574436554112,0.0,0.1091795949825401,-0.0196829727519055,0.1323206505483804,-0.0078303159948901,0.0466643693314975,0.0,0.7970814433726221,0.7847987774935583,IND,0,52,2020.0,2020.0,2.0,41.0,Wisconsin,0,0.0651435800215776,0.4545110164815175,0.4680658823460681,58.93232036981729,0.0080660965562059,0.4355906445260391,0.1821716224648295,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.5547117707977319,RB,83.22116149104707,0.5547117707977319,0.5547117707977319,jonathantaylor,2026-07-14,,,,2026_01_BAL_IND,2026-09-13 17:00:00+00:00,0.55873331706152,0.4166120504511552,0.7651373636125729,Strong goal-line/red-zone role,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
6,2026,1,2026,1,2026_01_SF,SF,LA,00-0033280,Christian McCaffrey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Christian McCaffrey,RB,SF,LA,,,,0.0,,,,,,,,,,True,RB,23.0,ACT,Christian McCaffrey,Christian,McCaffrey,1996-06-07,71.0,210.0,Stanford,00-0033280,3117251,f96db0af-5e25-42d1-a07a-49b4e065b364,30121.0,11690,11763,McCaCh01,18877,4034,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",,REG,A01,Christian,MCC035988,44820,32004d43-4303-5988-790d-0077d6a4692b,2017.0,2017.0,CAR,8.0,ACT,1.0,0.0,0.0,0.0,0.0,LA,-3.0,48.5,away,22.75,1,1,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8245878055973542,0.8245878055973542,0.6439470773762468,0.2093205904627328,0.589515170775561,0.5578131007581855,0.3546317390204533,0.4818016378232652,0.061375760267887,0.2093205904627328,-0.0060655900330047,0.2584730046483602,0.0782706639788683,0.3490967405079019,0.0,0.7051723885772774,0.7834624249303399,SF,0,48,2017.0,2017.0,1.0,8.0,Stanford,0,0.0583393346548303,0.469686450617509,0.5037869852885333,56.79148173921352,-0.0596373861827441,0.4132045882366348,0.1435513746659257,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.5502272205644942,RB,83.17906638530569,0.5502272205644942,0.5502272205644942,christianmccaffrey,2026-07-14,,,,2026_01_SF_LA,2026-09-11 00:35:00+00:00,0.5592851578121113,0.5006533368513999,0.6439470773762468,Strong goal-line/red-zone role,2026-07-15T04:45:07.380027+00:00,2026-09-10T00:35:00+00:00,,provisional
7,2026,1,2026,1,2026_01_CIN,CIN,TB,00-0038597,Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Chase Brown,RB,CIN,TB,,,,0.0,,,,,,,,,,True,RB,30.0,ACT,Chase Brown,Chase,Brown,2000-03-21,70.0,210.0,Illinois; Western Michigan,00-0038597,4362238,d74ff06d-905d-4fed-8f98-b5f6d4549333,40196.0,16934,77787,BrowCh10,24374,9224,3.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv3sq3uzosixxexbznq5",,REG,A01,Chase,BRO340581,56028,32004252-4f34-0581-a205-5f41836f80e9,2023.0,2023.0,CIN,163.0,ACT,1.0,0.0,0.0,0.0,0.0,TB,3.5,50.5,home,27.0,1,1,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6523338862217797,0.6523380896726251,0.5862014768824504,0.1415402764697096,0.3286515931164985,0.3559098929303836,0.3595184347846056,0.3245408746069582,0.0727842950659275,0.1415402764697096,0.0542499726671311,0.2196672873072584,0.0092148205646373,0.1677679035136103,0.0,0.6080693145460171,0.842401171669744,CIN,0,44,2023.0,2023.0,5.0,163.0,Illinois; Western Michigan,0,-0.0261324723987884,0.4481084689528767,0.6488328664799253,57.39989262802602,0.0179559196643026,0.4452701856141907,0.2590463458110517,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.5416665482452808,RB,85.03563690759694,0.5416665482452808,0.5416665482452808,chasebrown,2026-07-14,,,,2026_01_TB_CIN,2026-09-13 17:00:00+00:00,0.4600252131913132,0.3480266402771626,0.5862014768824504,Strong goal-line/red-zone role,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
8,2026,1,2026,1,2026_01_DET,DET,NO,00-0036963,Amon-Ra St. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Amon-Ra St. Brown,WR,DET,NO,,,,0.0,,,,,,,,,,True,WR,14.0,ACT,Amon-Ra St. Brown,Amon-Ra,St. Brown,1999-10-24,72.0,202.0,USC,00-0036963,4374302,26ef0447-29b8-4dd1-9831-dcbf8132bb74,33500.0,15332,84470,StxxAm00,22587,7547,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",,REG,A01,Amon-Ra,STB415291,53541,32005354-4241-5291-a564-57e98d35161d,2021.0,2021.0,DET,112.0,ACT,1.0,0.0,0.0,0.0,0.0,NO,7.0,48.5,home,27.75,1,1,1,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8557553804847784,0.8557553804847784,0.0020214157455294,0.328638809901522,0.2133666408584928,0.2195585104111985,0.1332265127284942,1.3609785366533094e-06,0.3442118698967876,0.328638809901522,0.1344767949434899,0.401192869113031,0.407982078424597,0.3711861522803856,0.0,0.0021052300186526,0.7845971441259268,DET,0,66,2021.0,2021.0,4.0,112.0,USC,0,0.0729690601263949,0.4463557105811071,0.5224551486070336,56.640900609335056,-0.073396356993557,0.4075600020495858,0.1921275283732031,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.5383294604453309,REC,83.2148100399667,0.5383294604453309,0.5383294604453309,amonrastbrown,2026-07-14,,,,2026_01_NO_DET,2026-09-13 17:00:00+00:00,0.3954718687106099,0.1887172213327285,0.328638809901522,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
9,2026,1,2026,1,2026_01_CIN,CIN,TB,00-0036900,Ja'Marr Chase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Ja'Marr Chase,WR,CIN,TB,,,,0.0,,,,,,,,,,True,WR,1.0,ACT,Ja'Marr Chase,Ja'Marr,Chase,2000-03-01,72.0,205.0,LSU,00-0036900,4362628,fa99e984-d63b-4ef4-a164-407f68a7eeaf,33393.0,15183,84270,ChasJa00,22564,7564,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",,REG,A01,Ja'Marr,CHA694469,53434,32004348-4169-4469-b021-d2c20a7d7cf5,2021.0,2021.0,CIN,5.0,ACT,1.0,0.0,0.0,0.0,0.0,TB,3.5,50.5,home,27.0,1,1,1,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936816319769844,0.936816319769844,0.0074047869484283,0.3123048738479986,0.1437310402663805,0.1060376582572966,0.0671138629751568,0.0,0.3613363430685898,0.3123048738479986,0.272160202537323,0.3351402081468666,0.3653748354180485,0.2522444781247966,0.0,0.0074378772837817,0.7871791730509278,CIN,0,61,2021.0,2021.0,1.0,5.0,LSU,0,-0.0261324723987884,0.4481084689528767,0.6488328664799253,57.39989262802602,0.0179559196643026,0.4452701856141907,0.2590463458110517,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,REC,0.5079547667828992,REC,83.29614395110423,0.5079547667828992,0.5079547667828992,jamarrchase,2026-07-14,,,,2026_01_TB_CIN,2026-09-13 17:00:00+00:00,0.4188419935220903,0.1056275204996113,0.3123048738479986,Strong recent workload,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
10,2026,1,2026,1,2026_01_BAL,BAL,IND,00-0032764,Derrick Henry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,Derrick Henry,RB,BAL,IND,,,,0.0,,,,,,,,,,True,RB,22.0,ACT,Derrick Henry,Derrick,Henry,1994-01-04,75.0,252.0,Alabama,00-0032764,3043078,87c481c7-7414-43cc-82df-19ca0c2ae22e,29279.0,10819,10679,HenrDe00,17959,3198,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jxtikemnvpkw9r0ex2wv",,REG,A01,Derrick,HEN602843,43334,32004845-4e60-2843-9b64-3cd8fac319c3,2016.0,2016.0,TEN,45.0,ACT,1.0,0.0,0.0,0.0,0.0,IND,3.5,49.5,away,26.5,1,1,1,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5551963207093547,0.5551963207093547,0.6075689831627503,0.0411603762460471,0.3307298925053946,0.4050248410955843,0.4498617137042086,0.5785254978084032,0.0,0.0411603762460471,0.1166428587363571,0.0714724096557921,-0.0046515461377613,0.0245269215479311,0.0,0.6498015081725849,0.671127243597626,BAL,0,34,2016.0,2016.0,2.0,45.0,Alabama,0,0.027638727752219,0.4346599727067241,0.3826631126548889,63.62022008053662,-0.0060184622972453,0.4494668275162007,0.1957850876535997,2.434901556776557,10.48057844932845,3.300041971916972,61.51143798331298,30.484288795465638,,,,,RB,0.48592462183802,RB,79.64050817332522,0.48592462183802,0.48592462183802,derrickhenry,2026-07-14,,,,2026_01_BAL_IND,2026-09-13 17:00:00+00:00,0.401308560039384,0.3952054824350625,0.6075689831627503,Strong goal-line/red-zone role,2026-07-15T04:45:07.380027+00:00,2026-09-12T17:00:00+00:00,,provisional
